sentence,label
Please complete your homework.,instruction
Please pick up your package.,instruction
I like to clean your room.,not instruction
You must clean your room.,instruction
She loves to write a summary.,not instruction
Can you check the mailbox?,instruction
They plan to pay the bill.,not instruction
It's possible to write a summary.,not instruction
They decided to clean your room.,not instruction
He wants to write your name.,not instruction
Always update your password.,instruction
Always write your name.,instruction
Can you send the email?,instruction
It's possible to turn off the lights.,not instruction
He thinks about send the email.,not instruction
He is going to clean your room.,not instruction
"read the instructions, please.",instruction
Don't forget to turn off the lights.,instruction
I like to feed the cat.,not instruction
Can you feed the cat?,instruction
He is going to check the mailbox.,not instruction
Remember to wash your hands.,instruction
She was about to send the email.,not instruction
Maybe he will draw a picture someday.,not instruction
I will probably start the meeting.,not instruction
It seems nice to start the meeting.,not instruction
He wants to take out the trash.,not instruction
Please complete your homework.,instruction
Please check the mailbox.,instruction
It's important that you clean your room.,instruction
pay the bill sounds like fun.,not instruction
They decided to write your name.,not instruction
It's possible to draw a picture.,not instruction
Try to check the mailbox.,instruction
Can you call your mom?,instruction
Always check the mailbox.,instruction
Try to open the window.,instruction
I will probably lock the door.,not instruction
I often pick up your package.,not instruction
It seems nice to submit the report.,not instruction
Maybe he will send the email someday.,not instruction
Don't forget to complete your homework.,instruction
"complete your homework, please.",instruction
She loves to feed the cat.,not instruction
They have finished read the instructions.,not instruction
She was about to turn off the lights.,not instruction
Take time to wash your hands.,instruction
She loves to write your name.,not instruction
Always clean your room.,instruction
Don't forget to pick up your package.,instruction
Maybe he will lock the door someday.,not instruction
I like to check the mailbox.,not instruction
feed the cat sounds like fun.,not instruction
Maybe he will feed the cat someday.,not instruction
They decided to update your password.,not instruction
He is going to write your name.,not instruction
She was about to update your password.,not instruction
She loves to draw a picture.,not instruction
Don't forget to send the email.,instruction
Make sure you feed the cat.,instruction
It seems nice to open the window.,not instruction
"Please, read the instructions now.",instruction
Remember to wash your hands.,instruction
Remember to complete your homework.,instruction
I often open the window.,not instruction
Remember to take out the trash.,instruction
They decided to write a summary.,not instruction
send the email at your earliest convenience.,instruction
It's important that you write a summary.,instruction
You must write your name.,instruction
I often write a summary.,not instruction
It seems nice to send the email.,not instruction
Please draw a picture.,instruction
It seems nice to submit the report.,not instruction
send the email sounds like fun.,not instruction
Remember to update your password.,instruction
"feed the cat, please.",instruction
"start the meeting, please.",instruction
Don't forget to call your mom.,instruction
They have finished pick up your package.,not instruction
I like to update your password.,not instruction
I will probably write your name.,not instruction
It seems nice to draw a picture.,not instruction
Try to call your mom.,instruction
Please update your password.,instruction
It's important that you send the email.,instruction
Can you draw a picture?,instruction
"Please, check the mailbox now.",instruction
It seems nice to wash your hands.,not instruction
Take time to update your password.,instruction
I like to take out the trash.,not instruction
Never draw a picture.,instruction
You must write your name.,instruction
I often draw a picture.,not instruction
start the meeting at your earliest convenience.,instruction
"Please, wash your hands now.",instruction
I often read the instructions.,not instruction
They have finished draw a picture.,not instruction
You must open the window.,instruction
Don't forget to call your mom.,instruction
He wants to turn off the lights.,not instruction
Never lock the door.,instruction
She was about to take out the trash.,not instruction
They decided to wash your hands.,not instruction
Maybe he will take out the trash someday.,not instruction
"pick up your package, please.",instruction
Maybe he will read the instructions someday.,not instruction
"Please, pick up your package now.",instruction
I like to start the meeting.,not instruction
Make sure you pick up your package.,instruction
Take time to pick up your package.,instruction
It seems nice to write your name.,not instruction
It's possible to send the email.,not instruction
She was about to check the mailbox.,not instruction
I like to lock the door.,not instruction
I like to submit the report.,not instruction
Can you complete your homework?,instruction
Don't forget to pick up your package.,instruction
Can you update your password?,instruction
It seems nice to check the mailbox.,not instruction
It seems nice to open the window.,not instruction
"clean your room, please.",instruction
Be sure to draw a picture.,instruction
Please write a summary.,instruction
Always check the mailbox.,instruction
He thinks about start the meeting.,not instruction
Don't forget to write a summary.,instruction
You must write a summary.,instruction
clean your room at your earliest convenience.,instruction
"Please, take out the trash now.",instruction
He wants to lock the door.,not instruction
Always submit the report.,instruction
She was about to take out the trash.,not instruction
call your mom at your earliest convenience.,instruction
Be sure to call your mom.,instruction
read the instructions at your earliest convenience.,instruction
I like to clean your room.,not instruction
He wants to take out the trash.,not instruction
"feed the cat, please.",instruction
Maybe he will wash your hands someday.,not instruction
She was about to lock the door.,not instruction
It seems nice to send the email.,not instruction
They have finished feed the cat.,not instruction
I will probably pay the bill.,not instruction
I often wash your hands.,not instruction
Can you lock the door?,instruction
I will probably update your password.,not instruction
It's possible to clean your room.,not instruction
They have finished draw a picture.,not instruction
turn off the lights at your earliest convenience.,instruction
clean your room at your earliest convenience.,instruction
Take time to update your password.,instruction
Don't forget to update your password.,instruction
He thinks about read the instructions.,not instruction
He wants to start the meeting.,not instruction
"Please, submit the report now.",instruction
Be sure to update your password.,instruction
I like to update your password.,not instruction
He is going to turn off the lights.,not instruction
He wants to call your mom.,not instruction
"Please, send the email now.",instruction
I will probably update your password.,not instruction
It's possible to update your password.,not instruction
She was about to submit the report.,not instruction
"Please, open the window now.",instruction
"open the window, please.",instruction
"Please, write a summary now.",instruction
He wants to call your mom.,not instruction
Maybe he will wash your hands someday.,not instruction
Never write a summary.,instruction
Never wash your hands.,instruction
"wash your hands, please.",instruction
It seems nice to wash your hands.,not instruction
They plan to open the window.,not instruction
Never write your name.,instruction
I like to submit the report.,not instruction
She loves to pay the bill.,not instruction
write your name sounds like fun.,not instruction
It's possible to call your mom.,not instruction
check the mailbox at your earliest convenience.,instruction
Can you wash your hands?,instruction
I like to wash your hands.,not instruction
Don't forget to read the instructions.,instruction
read the instructions at your earliest convenience.,instruction
She loves to call your mom.,not instruction
He wants to start the meeting.,not instruction
"submit the report, please.",instruction
"Please, turn off the lights now.",instruction
"clean your room, please.",instruction
I will probably complete your homework.,not instruction
Try to check the mailbox.,instruction
Take time to write your name.,instruction
Can you draw a picture?,instruction
Please update your password.,instruction
They decided to complete your homework.,not instruction
"Please, send the email now.",instruction
"pay the bill, please.",instruction
Don't forget to update your password.,instruction
Maybe he will wash your hands someday.,not instruction
Maybe he will pick up your package someday.,not instruction
Always pay the bill.,instruction
Remember to turn off the lights.,instruction
"complete your homework, please.",instruction
I like to open the window.,not instruction
I like to lock the door.,not instruction
Please start the meeting.,instruction
They plan to send the email.,not instruction
She was about to submit the report.,not instruction
Try to turn off the lights.,instruction
"write your name, please.",instruction
They plan to start the meeting.,not instruction
She was about to send the email.,not instruction
"complete your homework, please.",instruction
Don't forget to submit the report.,instruction
They plan to turn off the lights.,not instruction
He thinks about write a summary.,not instruction
You must complete your homework.,instruction
I often feed the cat.,not instruction
It's possible to send the email.,not instruction
He thinks about write your name.,not instruction
Maybe he will lock the door someday.,not instruction
I like to write your name.,not instruction
It's important that you check the mailbox.,instruction
I often write your name.,not instruction
Remember to lock the door.,instruction
I will probably update your password.,not instruction
He thinks about pick up your package.,not instruction
I will probably update your password.,not instruction
"send the email, please.",instruction
complete your homework at your earliest convenience.,instruction
Remember to send the email.,instruction
He is going to write a summary.,not instruction
I will probably clean your room.,not instruction
It's possible to draw a picture.,not instruction
You must read the instructions.,instruction
Try to open the window.,instruction
Please open the window.,instruction
Maybe he will write your name someday.,not instruction
He is going to turn off the lights.,not instruction
Don't forget to write your name.,instruction
Take time to submit the report.,instruction
It seems nice to feed the cat.,not instruction
They plan to turn off the lights.,not instruction
Please draw a picture.,instruction
They decided to check the mailbox.,not instruction
She was about to feed the cat.,not instruction
I will probably wash your hands.,not instruction
Try to turn off the lights.,instruction
update your password sounds like fun.,not instruction
Don't forget to feed the cat.,instruction
They decided to feed the cat.,not instruction
Always check the mailbox.,instruction
Remember to update your password.,instruction
He is going to start the meeting.,not instruction
She was about to open the window.,not instruction
Never submit the report.,instruction
It's possible to clean your room.,not instruction
Remember to clean your room.,instruction
They decided to turn off the lights.,not instruction
Be sure to check the mailbox.,instruction
They decided to pick up your package.,not instruction
Make sure you check the mailbox.,instruction
"start the meeting, please.",instruction
wash your hands sounds like fun.,not instruction
"Please, call your mom now.",instruction
She loves to complete your homework.,not instruction
I will probably lock the door.,not instruction
Take time to take out the trash.,instruction
Remember to turn off the lights.,instruction
write a summary at your earliest convenience.,instruction
He wants to take out the trash.,not instruction
Make sure you write a summary.,instruction
They decided to take out the trash.,not instruction
You must call your mom.,instruction
It's important that you pay the bill.,instruction
Maybe he will write your name someday.,not instruction
He thinks about start the meeting.,not instruction
She loves to check the mailbox.,not instruction
clean your room at your earliest convenience.,instruction
Never take out the trash.,instruction
Make sure you write a summary.,instruction
Take time to submit the report.,instruction
They decided to write a summary.,not instruction
call your mom at your earliest convenience.,instruction
Don't forget to read the instructions.,instruction
"pay the bill, please.",instruction
I will probably start the meeting.,not instruction
"Please, check the mailbox now.",instruction
"Please, draw a picture now.",instruction
It's possible to check the mailbox.,not instruction
Can you read the instructions?,instruction
Never send the email.,instruction
He thinks about start the meeting.,not instruction
Maybe he will write a summary someday.,not instruction
wash your hands at your earliest convenience.,instruction
I will probably pay the bill.,not instruction
I like to feed the cat.,not instruction
I often check the mailbox.,not instruction
They plan to complete your homework.,not instruction
She loves to check the mailbox.,not instruction
Take time to pick up your package.,instruction
You must write a summary.,instruction
Remember to write a summary.,instruction
Maybe he will wash your hands someday.,not instruction
She was about to call your mom.,not instruction
He thinks about write your name.,not instruction
I like to check the mailbox.,not instruction
He thinks about wash your hands.,not instruction
Make sure you feed the cat.,instruction
They have finished open the window.,not instruction
It's important that you send the email.,instruction
clean your room at your earliest convenience.,instruction
She loves to take out the trash.,not instruction
Can you open the window?,instruction
Can you open the window?,instruction
lock the door at your earliest convenience.,instruction
She loves to submit the report.,not instruction
I like to pick up your package.,not instruction
I will probably feed the cat.,not instruction
Make sure you update your password.,instruction
Be sure to write a summary.,instruction
I will probably submit the report.,not instruction
Can you clean your room?,instruction
They plan to update your password.,not instruction
Never call your mom.,instruction
Never turn off the lights.,instruction
He wants to lock the door.,not instruction
It seems nice to send the email.,not instruction
Be sure to feed the cat.,instruction
He is going to read the instructions.,not instruction
Be sure to pay the bill.,instruction
Always write your name.,instruction
They plan to start the meeting.,not instruction
Try to send the email.,instruction
I will probably turn off the lights.,not instruction
write a summary sounds like fun.,not instruction
He wants to check the mailbox.,not instruction
It seems nice to draw a picture.,not instruction
I often check the mailbox.,not instruction
Please start the meeting.,instruction
"take out the trash, please.",instruction
It's important that you complete your homework.,instruction
Please call your mom.,instruction
It's important that you write a summary.,instruction
Please complete your homework.,instruction
"check the mailbox, please.",instruction
I will probably wash your hands.,not instruction
He thinks about open the window.,not instruction
Try to wash your hands.,instruction
I like to clean your room.,not instruction
"submit the report, please.",instruction
She was about to write your name.,not instruction
He is going to submit the report.,not instruction
He is going to submit the report.,not instruction
Take time to call your mom.,instruction
He wants to write a summary.,not instruction
He is going to draw a picture.,not instruction
Can you open the window?,instruction
He wants to complete your homework.,not instruction
He wants to update your password.,not instruction
It's important that you write your name.,instruction
It seems nice to write your name.,not instruction
He wants to clean your room.,not instruction
He wants to draw a picture.,not instruction
He wants to wash your hands.,not instruction
"pay the bill, please.",instruction
You must start the meeting.,instruction
I like to open the window.,not instruction
I like to draw a picture.,not instruction
Remember to wash your hands.,instruction
lock the door at your earliest convenience.,instruction
Make sure you lock the door.,instruction
He thinks about take out the trash.,not instruction
It's possible to lock the door.,not instruction
Maybe he will turn off the lights someday.,not instruction
I like to draw a picture.,not instruction
You must write your name.,instruction
Make sure you clean your room.,instruction
He thinks about draw a picture.,not instruction
I often start the meeting.,not instruction
It seems nice to send the email.,not instruction
"lock the door, please.",instruction
Maybe he will pay the bill someday.,not instruction
She was about to take out the trash.,not instruction
Please wash your hands.,instruction
He wants to draw a picture.,not instruction
It seems nice to submit the report.,not instruction
I will probably clean your room.,not instruction
"feed the cat, please.",instruction
Take time to pay the bill.,instruction
It seems nice to wash your hands.,not instruction
It's important that you wash your hands.,instruction
Maybe he will open the window someday.,not instruction
I will probably start the meeting.,not instruction
"Please, call your mom now.",instruction
write a summary sounds like fun.,not instruction
Please update your password.,instruction
She loves to clean your room.,not instruction
Try to turn off the lights.,instruction
read the instructions at your earliest convenience.,instruction
Remember to pay the bill.,instruction
Don't forget to update your password.,instruction
"check the mailbox, please.",instruction
He wants to pay the bill.,not instruction
She loves to complete your homework.,not instruction
She was about to check the mailbox.,not instruction
Don't forget to start the meeting.,instruction
"write your name, please.",instruction
She was about to feed the cat.,not instruction
She was about to pick up your package.,not instruction
Remember to wash your hands.,instruction
Take time to complete your homework.,instruction
I will probably check the mailbox.,not instruction
She loves to wash your hands.,not instruction
It seems nice to check the mailbox.,not instruction
It seems nice to write your name.,not instruction
She loves to pick up your package.,not instruction
Never open the window.,instruction
I will probably open the window.,not instruction
It seems nice to pick up your package.,not instruction
Be sure to open the window.,instruction
Make sure you read the instructions.,instruction
Don't forget to complete your homework.,instruction
Try to update your password.,instruction
You must open the window.,instruction
It's important that you pick up your package.,instruction
Never pay the bill.,instruction
"Please, write your name now.",instruction
Don't forget to clean your room.,instruction
"Please, check the mailbox now.",instruction
Always draw a picture.,instruction
They have finished read the instructions.,not instruction
He is going to lock the door.,not instruction
He wants to clean your room.,not instruction
Please pay the bill.,instruction
I will probably update your password.,not instruction
Always check the mailbox.,instruction
Remember to write a summary.,instruction
Never submit the report.,instruction
send the email at your earliest convenience.,instruction
Try to update your password.,instruction
He wants to feed the cat.,not instruction
She was about to submit the report.,not instruction
"take out the trash, please.",instruction
Remember to write your name.,instruction
I like to send the email.,not instruction
Remember to write your name.,instruction
write your name at your earliest convenience.,instruction
Try to start the meeting.,instruction
They decided to pay the bill.,not instruction
He thinks about clean your room.,not instruction
Make sure you check the mailbox.,instruction
"start the meeting, please.",instruction
You must pick up your package.,instruction
He wants to open the window.,not instruction
draw a picture sounds like fun.,not instruction
I will probably wash your hands.,not instruction
Always take out the trash.,instruction
"pay the bill, please.",instruction
Remember to send the email.,instruction
You must take out the trash.,instruction
She loves to open the window.,not instruction
Remember to take out the trash.,instruction
They plan to feed the cat.,not instruction
Remember to send the email.,instruction
Maybe he will open the window someday.,not instruction
She loves to wash your hands.,not instruction
It seems nice to feed the cat.,not instruction
She loves to call your mom.,not instruction
It's possible to write a summary.,not instruction
"feed the cat, please.",instruction
He wants to complete your homework.,not instruction
He thinks about complete your homework.,not instruction
She was about to turn off the lights.,not instruction
Can you feed the cat?,instruction
update your password at your earliest convenience.,instruction
Maybe he will start the meeting someday.,not instruction
I often draw a picture.,not instruction
It seems nice to read the instructions.,not instruction
She was about to open the window.,not instruction
I will probably draw a picture.,not instruction
pick up your package sounds like fun.,not instruction
I will probably pick up your package.,not instruction
They plan to send the email.,not instruction
Never pick up your package.,instruction
I like to write a summary.,not instruction
You must write your name.,instruction
"Please, pay the bill now.",instruction
start the meeting at your earliest convenience.,instruction
Always write a summary.,instruction
He thinks about start the meeting.,not instruction
You must update your password.,instruction
It seems nice to pay the bill.,not instruction
Maybe he will clean your room someday.,not instruction
I often submit the report.,not instruction
Always wash your hands.,instruction
send the email at your earliest convenience.,instruction
They decided to write a summary.,not instruction
Can you take out the trash?,instruction
Take time to pick up your package.,instruction
They have finished check the mailbox.,not instruction
Maybe he will open the window someday.,not instruction
She was about to send the email.,not instruction
He is going to open the window.,not instruction
Maybe he will feed the cat someday.,not instruction
Take time to pay the bill.,instruction
Maybe he will send the email someday.,not instruction
send the email sounds like fun.,not instruction
write your name sounds like fun.,not instruction
She loves to start the meeting.,not instruction
lock the door at your earliest convenience.,instruction
Don't forget to check the mailbox.,instruction
I like to lock the door.,not instruction
They plan to draw a picture.,not instruction
I like to pay the bill.,not instruction
Be sure to turn off the lights.,instruction
I often turn off the lights.,not instruction
It's important that you write your name.,instruction
Remember to clean your room.,instruction
He wants to feed the cat.,not instruction
complete your homework sounds like fun.,not instruction
It's important that you wash your hands.,instruction
Can you take out the trash?,instruction
Maybe he will lock the door someday.,not instruction
Can you submit the report?,instruction
They have finished call your mom.,not instruction
Never open the window.,instruction
It seems nice to take out the trash.,not instruction
"clean your room, please.",instruction
It's important that you update your password.,instruction
He is going to lock the door.,not instruction
"Please, draw a picture now.",instruction
check the mailbox at your earliest convenience.,instruction
Remember to pick up your package.,instruction
It seems nice to turn off the lights.,not instruction
They decided to pay the bill.,not instruction
Don't forget to open the window.,instruction
He wants to send the email.,not instruction
"start the meeting, please.",instruction
They plan to pick up your package.,not instruction
Be sure to wash your hands.,instruction
Try to send the email.,instruction
You must clean your room.,instruction
write a summary at your earliest convenience.,instruction
It's possible to lock the door.,not instruction
read the instructions at your earliest convenience.,instruction
Never start the meeting.,instruction
Make sure you submit the report.,instruction
"Please, turn off the lights now.",instruction
It seems nice to draw a picture.,not instruction
Maybe he will complete your homework someday.,not instruction
She loves to draw a picture.,not instruction
They have finished update your password.,not instruction
Try to feed the cat.,instruction
Can you open the window?,instruction
Please write your name.,instruction
Be sure to read the instructions.,instruction
Maybe he will complete your homework someday.,not instruction
I often write your name.,not instruction
It's possible to turn off the lights.,not instruction
Try to pay the bill.,instruction
Can you send the email?,instruction
Can you write a summary?,instruction
It's important that you take out the trash.,instruction
It's possible to write a summary.,not instruction
You must draw a picture.,instruction
Try to complete your homework.,instruction
Please read the instructions.,instruction
Remember to pay the bill.,instruction
Can you write your name?,instruction
Take time to write your name.,instruction
"lock the door, please.",instruction
Try to update your password.,instruction
Please write a summary.,instruction
Remember to call your mom.,instruction
Never complete your homework.,instruction
I like to pay the bill.,not instruction
You must clean your room.,instruction
Can you read the instructions?,instruction
He is going to take out the trash.,not instruction
clean your room at your earliest convenience.,instruction
Always update your password.,instruction
They decided to update your password.,not instruction
It seems nice to pick up your package.,not instruction
He is going to take out the trash.,not instruction
take out the trash sounds like fun.,not instruction
"Please, lock the door now.",instruction
update your password sounds like fun.,not instruction
Remember to send the email.,instruction
Be sure to pay the bill.,instruction
Maybe he will complete your homework someday.,not instruction
It seems nice to wash your hands.,not instruction
Take time to turn off the lights.,instruction
Take time to clean your room.,instruction
Try to call your mom.,instruction
I like to feed the cat.,not instruction
Make sure you clean your room.,instruction
It's important that you take out the trash.,instruction
He is going to pick up your package.,not instruction
Please pay the bill.,instruction
It seems nice to write your name.,not instruction
She loves to turn off the lights.,not instruction
call your mom sounds like fun.,not instruction
It's important that you update your password.,instruction
I will probably open the window.,not instruction
Always call your mom.,instruction
He wants to read the instructions.,not instruction
"lock the door, please.",instruction
Can you complete your homework?,instruction
I like to open the window.,not instruction
She loves to start the meeting.,not instruction
Try to write your name.,instruction
They plan to feed the cat.,not instruction
"Please, submit the report now.",instruction
Always feed the cat.,instruction
It seems nice to submit the report.,not instruction
It seems nice to take out the trash.,not instruction
Please lock the door.,instruction
I will probably submit the report.,not instruction
clean your room at your earliest convenience.,instruction
He thinks about read the instructions.,not instruction
pay the bill at your earliest convenience.,instruction
It's important that you write a summary.,instruction
I will probably lock the door.,not instruction
Make sure you lock the door.,instruction
She was about to update your password.,not instruction
She was about to call your mom.,not instruction
He is going to call your mom.,not instruction
He is going to wash your hands.,not instruction
It seems nice to write a summary.,not instruction
Always draw a picture.,instruction
I like to feed the cat.,not instruction
He wants to take out the trash.,not instruction
It's possible to send the email.,not instruction
call your mom at your earliest convenience.,instruction
They have finished start the meeting.,not instruction
Try to feed the cat.,instruction
Don't forget to start the meeting.,instruction
Please submit the report.,instruction
"Please, complete your homework now.",instruction
Never pay the bill.,instruction
He thinks about send the email.,not instruction
Try to send the email.,instruction
Always start the meeting.,instruction
clean your room sounds like fun.,not instruction
Please pay the bill.,instruction
"Please, pick up your package now.",instruction
It's important that you submit the report.,instruction
Try to check the mailbox.,instruction
It's possible to read the instructions.,not instruction
She loves to take out the trash.,not instruction
Be sure to lock the door.,instruction
Take time to start the meeting.,instruction
I will probably complete your homework.,not instruction
Try to update your password.,instruction
Please open the window.,instruction
Make sure you submit the report.,instruction
Never draw a picture.,instruction
Try to clean your room.,instruction
Always wash your hands.,instruction
She loves to complete your homework.,not instruction
Maybe he will take out the trash someday.,not instruction
She loves to start the meeting.,not instruction
"Please, check the mailbox now.",instruction
I will probably pay the bill.,not instruction
He is going to lock the door.,not instruction
Try to write a summary.,instruction
Remember to feed the cat.,instruction
Maybe he will wash your hands someday.,not instruction
Can you take out the trash?,instruction
"Please, write a summary now.",instruction
They have finished feed the cat.,not instruction
Be sure to complete your homework.,instruction
Maybe he will draw a picture someday.,not instruction
Never draw a picture.,instruction
Please wash your hands.,instruction
He is going to clean your room.,not instruction
She loves to turn off the lights.,not instruction
It seems nice to start the meeting.,not instruction
She loves to check the mailbox.,not instruction
She loves to pay the bill.,not instruction
Never update your password.,instruction
Maybe he will complete your homework someday.,not instruction
You must write a summary.,instruction
They decided to write a summary.,not instruction
Can you write a summary?,instruction
It's important that you write your name.,instruction
Maybe he will feed the cat someday.,not instruction
She loves to take out the trash.,not instruction
He is going to read the instructions.,not instruction
She loves to clean your room.,not instruction
"write your name, please.",instruction
He wants to draw a picture.,not instruction
She was about to write a summary.,not instruction
She was about to draw a picture.,not instruction
open the window at your earliest convenience.,instruction
She loves to clean your room.,not instruction
He thinks about wash your hands.,not instruction
clean your room sounds like fun.,not instruction
Please read the instructions.,instruction
Can you start the meeting?,instruction
call your mom at your earliest convenience.,instruction
Don't forget to open the window.,instruction
You must write your name.,instruction
Always pick up your package.,instruction
Be sure to clean your room.,instruction
Please draw a picture.,instruction
She loves to submit the report.,not instruction
I like to read the instructions.,not instruction
Be sure to submit the report.,instruction
They have finished feed the cat.,not instruction
"Please, draw a picture now.",instruction
It seems nice to start the meeting.,not instruction
They have finished open the window.,not instruction
She loves to write your name.,not instruction
It's possible to turn off the lights.,not instruction
I like to wash your hands.,not instruction
She was about to start the meeting.,not instruction
I often feed the cat.,not instruction
"Please, check the mailbox now.",instruction
complete your homework at your earliest convenience.,instruction
Make sure you start the meeting.,instruction
You must clean your room.,instruction
Maybe he will lock the door someday.,not instruction
He thinks about complete your homework.,not instruction
You must write your name.,instruction
Remember to clean your room.,instruction
He wants to check the mailbox.,not instruction
lock the door at your earliest convenience.,instruction
It's possible to send the email.,not instruction
It's possible to open the window.,not instruction
complete your homework at your earliest convenience.,instruction
Maybe he will lock the door someday.,not instruction
Take time to take out the trash.,instruction
complete your homework sounds like fun.,not instruction
Take time to write your name.,instruction
She was about to take out the trash.,not instruction
Remember to lock the door.,instruction
It's important that you send the email.,instruction
You must pick up your package.,instruction
Maybe he will check the mailbox someday.,not instruction
Try to wash your hands.,instruction
She loves to take out the trash.,not instruction
Maybe he will read the instructions someday.,not instruction
Be sure to clean your room.,instruction
Try to lock the door.,instruction
It's possible to turn off the lights.,not instruction
They plan to draw a picture.,not instruction
Take time to submit the report.,instruction
Please start the meeting.,instruction
It's important that you complete your homework.,instruction
They decided to open the window.,not instruction
write your name sounds like fun.,not instruction
Don't forget to submit the report.,instruction
Maybe he will submit the report someday.,not instruction
Never clean your room.,instruction
"check the mailbox, please.",instruction
Make sure you submit the report.,instruction
Be sure to clean your room.,instruction
You must wash your hands.,instruction
Can you take out the trash?,instruction
He wants to feed the cat.,not instruction
I often submit the report.,not instruction
Be sure to open the window.,instruction
Please write a summary.,instruction
He is going to write your name.,not instruction
Remember to wash your hands.,instruction
Never complete your homework.,instruction
I like to write a summary.,not instruction
Be sure to take out the trash.,instruction
They plan to complete your homework.,not instruction
Remember to pay the bill.,instruction
They have finished lock the door.,not instruction
It seems nice to clean your room.,not instruction
You must send the email.,instruction
Be sure to submit the report.,instruction
Remember to draw a picture.,instruction
"feed the cat, please.",instruction
He wants to update your password.,not instruction
He thinks about write a summary.,not instruction
It's possible to write your name.,not instruction
I will probably write a summary.,not instruction
Please update your password.,instruction
It's possible to open the window.,not instruction
He is going to submit the report.,not instruction
Never complete your homework.,instruction
Can you feed the cat?,instruction
He thinks about turn off the lights.,not instruction
"wash your hands, please.",instruction
It's important that you write a summary.,instruction
He thinks about submit the report.,not instruction
Maybe he will submit the report someday.,not instruction
They decided to write a summary.,not instruction
"complete your homework, please.",instruction
Try to complete your homework.,instruction
They decided to draw a picture.,not instruction
Can you take out the trash?,instruction
I like to check the mailbox.,not instruction
They decided to turn off the lights.,not instruction
He is going to turn off the lights.,not instruction
Remember to write your name.,instruction
I like to feed the cat.,not instruction
They plan to open the window.,not instruction
It's important that you read the instructions.,instruction
pick up your package at your earliest convenience.,instruction
I like to start the meeting.,not instruction
They have finished lock the door.,not instruction
They have finished take out the trash.,not instruction
Never complete your homework.,instruction
Always start the meeting.,instruction
pick up your package at your earliest convenience.,instruction
"draw a picture, please.",instruction
read the instructions at your earliest convenience.,instruction
feed the cat sounds like fun.,not instruction
I often call your mom.,not instruction
She loves to wash your hands.,not instruction
It's possible to wash your hands.,not instruction
Remember to lock the door.,instruction
It's possible to write your name.,not instruction
He is going to check the mailbox.,not instruction
He wants to wash your hands.,not instruction
I often check the mailbox.,not instruction
Make sure you take out the trash.,instruction
Take time to write a summary.,instruction
Be sure to wash your hands.,instruction
Maybe he will start the meeting someday.,not instruction
She loves to wash your hands.,not instruction
She was about to call your mom.,not instruction
I often send the email.,not instruction
"wash your hands, please.",instruction
Please open the window.,instruction
lock the door at your earliest convenience.,instruction
Can you write a summary?,instruction
It's possible to take out the trash.,not instruction
Always turn off the lights.,instruction
Make sure you wash your hands.,instruction
Take time to submit the report.,instruction
It's possible to take out the trash.,not instruction
Can you write your name?,instruction
Please send the email.,instruction
open the window sounds like fun.,not instruction
It seems nice to write a summary.,not instruction
They decided to write a summary.,not instruction
Try to submit the report.,instruction
He wants to read the instructions.,not instruction
She loves to lock the door.,not instruction
Remember to update your password.,instruction
She was about to open the window.,not instruction
Take time to take out the trash.,instruction
Can you call your mom?,instruction
